country,year,month,temperature_celsius,humidity,precip_mm,wind_mps,temp_z,precip_pctile,extreme_temp,extreme_precip,reason
Afghanistan,2024,2024-12-01,7.174193548387097,22.387096774193548,0.01,1.1765232974910393,-1.5463964941297517,0.25,True,False,temp_z=-1.55
Afghanistan,2025,2025-01-01,1.3129032258064517,58.87096774193548,2.31,1.9336917562724014,-2.1626531561507054,0.8888888888888888,True,False,temp_z=-2.16
Afghanistan,2025,2025-02-01,4.789285714285714,47.857142857142854,1.42,1.9831349206349207,-1.797145946926665,0.6666666666666666,True,False,temp_z=-1.80
Afghanistan,2025,2025-05-01,27.26774193548387,17.483870967741936,4.3500000000000005,2.9955197132616487,0.566241231642686,1.0,False,True,precip_pctile=1.00
Albania,2024,2024-07-01,34.63793103448276,37.0,3.17,5.219348659003831,1.5513413199897605,0.5555555555555556,True,False,temp_z=1.55
Albania,2024,2024-08-01,34.980645161290326,32.12903225806452,0.69,5.034946236559139,1.5954984794945442,0.3333333333333333,True,False,temp_z=1.60
Albania,2024,2024-09-01,27.516666666666666,48.266666666666666,11.68,2.533333333333333,0.6337987328353237,1.0,False,True,precip_pctile=1.00
Algeria,2024,2024-12-01,14.748387096774193,61.58064516129032,1.87,2.870071684587814,-1.5148502110095265,0.7777777777777778,True,False,temp_z=-1.51
Algeria,2025,2025-01-01,15.019354838709678,63.03225806451613,3.11,3.6729390681003586,-1.4665645328969081,1.0,False,True,precip_pctile=1.00
Andorra,2024,2024-07-01,24.010344827586206,37.44827586206897,3.19,3.6312260536398466,1.603347813378788,0.5555555555555556,True,False,temp_z=1.60
Andorra,2024,2024-08-01,23.416129032258063,42.16129032258065,4.03,2.5501792114695343,1.5212556602770169,0.6666666666666666,True,False,temp_z=1.52
Andorra,2024,2024-09-01,14.58,55.03333333333333,9.33,2.761111111111111,0.30052598084707444,1.0,False,True,precip_pctile=1.00
Andorra,2025,2025-03-01,1.1806451612903226,82.51612903225806,6.43,2.64336917562724,-1.5506228737148764,0.9444444444444444,True,False,temp_z=-1.55
Angola,2024,2024-12-01,27.758064516129032,76.96774193548387,5.73,2.6469534050179213,0.6155368203128428,1.0,False,True,precip_pctile=1.00
Angola,2025,2025-08-01,21.019354838709678,79.38709677419355,0.030000000000000002,1.6774193548387097,-1.9443999513908978,0.5,True,False,temp_z=-1.94
Antigua and Barbuda,2024,2024-05-01,29.41176470588235,72.82352941176471,1.6600000000000001,4.511437908496732,1.5630304850776178,0.3333333333333333,True,False,temp_z=1.56
Antigua and Barbuda,2024,2024-06-01,29.92758620689655,72.34482758620689,1.22,4.546934865900384,1.8816878372254473,0.16666666666666666,True,False,temp_z=1.88
Antigua and Barbuda,2025,2025-01-01,24.436666666666667,80.8,2.08,7.730555555555555,-1.5104194675421212,0.4444444444444444,True,False,temp_z=-1.51
Antigua and Barbuda,2025,2025-02-01,24.67142857142857,75.85714285714286,6.09,9.269841269841269,-1.365391377767806,1.0,False,True,precip_pctile=1.00
Argentina,2024,2024-07-01,6.796428571428572,78.32142857142857,0.0,2.3402777777777777,-1.604872764799381,0.08333333333333333,True,False,temp_z=-1.60
Argentina,2025,2025-01-01,21.716666666666665,77.33333333333333,0.09,2.7759259259259257,1.8650854077052754,0.2222222222222222,True,False,temp_z=1.87
Argentina,2025,2025-02-01,21.567857142857143,81.85714285714286,4.710000000000001,2.786706349206349,1.830477191670561,0.8333333333333334,True,False,temp_z=1.83
Argentina,2025,2025-03-01,18.551612903225806,88.58064516129032,8.15,2.49910394265233,1.1289976788925957,1.0,False,True,precip_pctile=1.00
Armenia,2024,2024-05-01,22.823529411764707,33.8235294117647,3.7600000000000002,2.949346405228758,0.20961654293500936,1.0,False,True,precip_pctile=1.00
Armenia,2024,2024-12-01,4.696774193548387,55.74193548387097,1.23,1.3727598566308243,-1.618286144418491,0.5,True,False,temp_z=-1.62
Armenia,2025,2025-01-01,3.3548387096774195,53.67741935483871,0.0,1.0842293906810037,-1.7536069697782173,0.05555555555555555,True,False,temp_z=-1.75
Armenia,2025,2025-02-01,3.5392857142857146,48.17857142857143,1.58,1.5744047619047616,-1.735007326800803,0.7222222222222222,True,False,temp_z=-1.74
Australia,2025,2025-02-01,20.724999999999998,67.39285714285714,0.95,2.879960317460317,1.5851730537777795,0.4444444444444444,True,False,temp_z=1.59
Australia,2025,2025-09-01,14.233333333333333,54.3,15.03,3.9796296296296294,0.40354752829936125,1.0,False,True,precip_pctile=1.00
Austria,2024,2024-07-01,28.482142857142858,41.07142857142857,0.68,4.066468253968254,1.5089024696732256,0.2777777777777778,True,False,temp_z=1.51
Austria,2024,2024-08-01,29.43548387096774,43.32258064516129,0.48,3.867383512544803,1.620633146342601,0.16666666666666666,True,False,temp_z=1.62
Austria,2024,2024-09-01,20.09333333333333,60.1,12.639999999999999,5.305555555555555,0.5257418262584805,1.0,False,True,precip_pctile=1.00
Austria,2025,2025-02-01,2.6392857142857147,64.53571428571429,0.11,3.6031746031746033,-1.519856257549446,0.1111111111111111,True,False,temp_z=-1.52
Azerbaijan,2025,2025-02-01,5.121428571428572,74.10714285714286,0.46,7.500992063492063,-1.9535295863767326,0.6666666666666666,True,False,temp_z=-1.95
Azerbaijan,2025,2025-04-01,17.003333333333334,60.5,3.29,6.830555555555555,-0.505115625150921,1.0,False,True,precip_pctile=1.00
Bahamas,2025,2025-01-01,20.19,79.7,0.0,5.733333333333333,-1.8588696084000857,0.25,True,False,temp_z=-1.86
